algo,supercomputer,supercomputer_25
OLS Regression,5.419,6.940999999999974
Elastic Net,11.278,3.305999999999983
Random Forest,53.28399999999999,15.498000000000047
eXtreme Gradient Boosting,275.14700000000005,21.251999999999953
